id,initial_situation,first_transition_situation,first_transition_emotion,second_transition_situation,second_transition_emotion
1,Покупка лотерейного билета,Выигрыш автомобиля,Радость,Путешествие на новом авто,Восторг
1,Покупка лотерейного билета,Проигрыш (ничего не выиграл),Разочарование,Попытка купить еще билетов,Надежда
2,Участие в марафоне,Получение медали,Радость,Празднование с друзьями,Восторг
2,Участие в марафоне,Неудача на финише,Разочарование,Участие в следующем марафоне,Надежда
3,Получение диплома,Начало новой работы,Восторг,Повышение на работе,Радость
3,Получение диплома,Безработица,Разочарование,Поиск временной работы,Удовлетворение
4,Празднование дня рождения,Получение подарков,Радость,Празднование с семьей,Восторг
4,Празднование дня рождения,Отсутствие гостей,Грусть,Просмотр любимого фильма,Удовлетворение
5,Выигрыш в лотерею,Покупка нового дома,Восторг,Переезд в новый дом,Радость
5,Выигрыш в лотерею,Потеря денег,Ужас,Занятие финансовым планированием,Надежда
6,Поездка на море,Наслаждение пляжем,Восторг,Заведение новых друзей,Радость
6,Поездка на море,Плохая погода,Разочарование,Посещение музея,Удовлетворение
7,Получение новой работы,Повышение зарплаты,Удовлетворение,Покупка нового автомобиля,Радость
7,Получение новой работы,Сложные обязанности,Стресс,Успешное завершение проекта,Удовлетворение
8,Переезд в новый дом,Празднование новоселья,Радость,Приглашение друзей,Восторг
8,Переезд в новый дом,Поломка бытовой техники,Досада,Покупка новой техники,Удовлетворение
9,Начало собственного бизнеса,Успех бизнеса,Радость,Расширение бизнеса,Восторг
9,Начало собственного бизнеса,Провал бизнеса,Разочарование,Начало нового бизнеса,Надежда
10,Публикация книги,Положительные отзывы,Удовлетворение,Награждение за книгу,Радость
10,Публикация книги,Негативные отзывы,Разочарование,Работа над новой книгой,Надежда
11,Путешествие в другую страну,Новые впечатления,Восторг,Фотографирование достопримечательностей,Радость
11,Путешествие в другую страну,Потеря документов,Ужас,Получение помощи от посольства,Удовлетворение
12,Участие в соревнованиях,Победа в соревнованиях,Радость,Получение медали,Восторг
12,Участие в соревнованиях,Проигрыш в соревнованиях,Разочарование,Начало тренировок,Надежда
13,Получение наследства,Покупка недвижимости,Радость,Переезд в новый дом,Восторг
13,Получение наследства,Разделение наследства с родственниками,Стресс,Мирное урегулирование,Удовлетворение
14,Начало учебы в университете,Успех в учебе,Удовлетворение,Получение стипендии,Радость
14,Начало учебы в университете,Проблемы с учебой,Стресс,Получение помощи от преподавателя,Удовлетворение
15,Получение премии на работе,Празднование с семьей,Радость,Покупка подарков,Восторг
15,Получение премии на работе,Зависть коллег,Зависть,Урегулирование конфликта,Удовлетворение
16,Рождение ребенка,Счастье в семье,Восторг,Первые шаги ребенка,Радость
16,Рождение ребенка,Бессонные ночи,Усталость,Помощь от родственников,Удовлетворение
17,Потеря работы,Получение новой работы,Надежда,Успешное начало на новой работе,Радость
17,Потеря работы,Длительный поиск работы,Стресс,Переобучение новой профессии,Удовлетворение
18,Выигрыш спортивной команды,Празднование победы,Радость,Получение награды,Восторг
18,Выигрыш спортивной команды,Травма игрока,Грусть,Получение поддержки от команды,Удовлетворение
19,Покупка нового автомобиля,Дальняя поездка,Восторг,Посещение нового города,Радость
19,Покупка нового автомобиля,Поломка автомобиля,Досада,Успешный ремонт,Удовлетворение
20,Начало ремонта дома,Завершение ремонта,Удовлетворение,Празднование новоселья,Радость
20,Начало ремонта дома,Нехватка средств,Стресс,Получение кредита,Надежда
21,Переезд за границу,Новые впечатления,Восторг,Изучение языка,Радость
21,Переезд за границу,Сложности адаптации,Стресс,Получение помощи от местных,Удовлетворение
22,Возвращение из командировки,Встреча с семьей,Радость,Праздничный ужин,Восторг
22,Возвращение из командировки,Усталость от работы,Усталость,Выходной день,Удовлетворение
23,Получение кредита,Покупка недвижимости,Радость,Переезд в новый дом,Восторг
23,Получение кредита,Долговая нагрузка,Стресс,Планирование бюджета,Удовлетворение
24,Окончание университета,Получение диплома,Радость,Начало новой работы,Восторг
24,Окончание университета,Поиск работы,Стресс,Получение временной работы,Надежда
25,Организация вечеринки,Успешное мероприятие,Удовлетворение,Благодарности от гостей,Радость
25,Организация вечеринки,Проблемы с гостями,Стресс,Решение конфликтов,Удовлетворение
26,Посещение концерта,Наслаждение музыкой,Восторг,Встреча с артистом,Радость
26,Посещение концерта,Плохое качество звука,Разочарование,Посещение другого концерта,Надежда
27,Начало нового проекта,Успех проекта,Радость,Получение премии,Восторг
